"Description";"Native";"Bytes";"R-encoding"
"DIGIT NINE + COMBINING ENCLOSING KEYCAP";"9⃣";"\x39\xE2\x83\xA3";"9<e2><83><a3>"
"DIGIT ONE + COMBINING ENCLOSING KEYCAP";"1⃣";"\x31\xE2\x83\xA3";"1<e2><83><a3>"
"DIGIT SEVEN + COMBINING ENCLOSING KEYCAP";"7⃣";"\x37\xE2\x83\xA3";"7<e2><83><a3>"
"DIGIT SIX + COMBINING ENCLOSING KEYCAP";"6⃣";"\x36\xE2\x83\xA3";"6<e2><83><a3>"
"DIGIT THREE + COMBINING ENCLOSING KEYCAP";"3⃣";"\x33\xE2\x83\xA3";"3<e2><83><a3>"
"DIGIT TWO + COMBINING ENCLOSING KEYCAP";"2⃣";"\x32\xE2\x83\xA3";"2<e2><83><a3>"
"DIGIT ZERO + COMBINING ENCLOSING KEYCAP";"0⃣";"\x30\xE2\x83\xA3";"0<e2><83><a3>"
"DIRECT HIT";"🎯";"\xF0\x9F\x8E\xAF";"<ed><a0><bc><ed><be><af>"
"DISAPPOINTED BUT RELIEVED FACE";"😥";"\xF0\x9F\x98\xA5";"<ed><a0><bd><ed><b8><a5>"
"DISAPPOINTED FACE";"😞";"\xF0\x9F\x98\x9E";"<ed><a0><bd><ed><b8><9e>"
"DIZZY FACE";"😵";"\xF0\x9F\x98\xB5";"<ed><a0><bd><ed><b8><b5>"
"DIZZY SYMBOL";"💫";"\xF0\x9F\x92\xAB";"<ed><a0><bd><ed><b2><ab>"
"DO NOT LITTER SYMBOL";"🚯";"\xF0\x9F\x9A\xAF";"<ed><a0><bd><ed><ba><af>"
"DOG";"🐕";"\xF0\x9F\x90\x95";"<ed><a0><bd><ed><b0><95>"
"DOG FACE";"🐶";"\xF0\x9F\x90\xB6";"<ed><a0><bd><ed><b0><b6>"
"DOLPHIN";"🐬";"\xF0\x9F\x90\xAC";"<ed><a0><bd><ed><b0><ac>"
"DOOR";"🚪";"\xF0\x9F\x9A\xAA";"<ed><a0><bd><ed><ba><aa>"
"DOUBLE EXCLAMATION MARK";"‼";"\xE2\x80\xBC";"<e2><80><bc>"
"DOUGHNUT";"🍩";"\xF0\x9F\x8D\xA9";"<ed><a0><bc><ed><bd><a9>"
"DOWN-POINTING RED TRIANGLE";"🔻";"\xF0\x9F\x94\xBB";"<ed><a0><bd><ed><b4><bb>"
"DOWN-POINTING SMALL RED TRIANGLE";"🔽";"\xF0\x9F\x94\xBD";"<ed><a0><bd><ed><b4><bd>"
"DOWNWARDS BLACK ARROW";"⬇";"\xE2\xAC\x87";"<e2><ac><87>"
"DRAGON";"🐉";"\xF0\x9F\x90\x89";"<ed><a0><bd><ed><b0><89>"
"DRAGON FACE";"🐲";"\xF0\x9F\x90\xB2";"<ed><a0><bd><ed><b0><b2>"
"DRESS";"👗";"\xF0\x9F\x91\x97";"<ed><a0><bd><ed><b1><97>"
"DROMEDARY CAMEL";"🐪";"\xF0\x9F\x90\xAA";"<ed><a0><bd><ed><b0><aa>"
"DROPLET";"💧";"\xF0\x9F\x92\xA7";"<ed><a0><bd><ed><b2><a7>"
"DVD";"📀";"\xF0\x9F\x93\x80";"<ed><a0><bd><ed><b3><80>"
"E-MAIL SYMBOL";"📧";"\xF0\x9F\x93\xA7";"<ed><a0><bd><ed><b3><a7>"
"EAR";"👂";"\xF0\x9F\x91\x82";"<ed><a0><bd><ed><b1><82>"
"EAR OF MAIZE";"🌽";"\xF0\x9F\x8C\xBD";"<ed><a0><bc><ed><bc><bd>"
"EAR OF RICE";"🌾";"\xF0\x9F\x8C\xBE";"<ed><a0><bc><ed><bc><be>"
"EARTH GLOBE AMERICAS";"🌎";"\xF0\x9F\x8C\x8E";"<ed><a0><bc><ed><bc><8e>"
"EARTH GLOBE ASIA-AUSTRALIA";"🌏";"\xF0\x9F\x8C\x8F";"<ed><a0><bc><ed><bc><8f>"
"EARTH GLOBE EUROPE-AFRICA";"🌍";"\xF0\x9F\x8C\x8D";"<ed><a0><bc><ed><bc><8d>"
"EIGHT POINTED BLACK STAR";"✴";"\xE2\x9C\xB4";"<e2><9c><b4>"
"EIGHT SPOKED ASTERISK";"✳";"\xE2\x9C\xB3";"<e2><9c><b3>"
"ELECTRIC LIGHT BULB";"💡";"\xF0\x9F\x92\xA1";"<ed><a0><bd><ed><b2><a1>"
"ELECTRIC PLUG";"🔌";"\xF0\x9F\x94\x8C";"<ed><a0><bd><ed><b4><8c>"
"ELECTRIC TORCH";"🔦";"\xF0\x9F\x94\xA6";"<ed><a0><bd><ed><b4><a6>"
"ELEPHANT";"🐘";"\xF0\x9F\x90\x98";"<ed><a0><bd><ed><b0><98>"
"END WITH LEFTWARDS ARROW ABOVE";"🔚";"\xF0\x9F\x94\x9A";"<ed><a0><bd><ed><b4><9a>"
"ENVELOPE";"✉";"\xE2\x9C\x89";"<e2><9c><89>"
"ENVELOPE WITH DOWNWARDS ARROW ABOVE";"📩";"\xF0\x9F\x93\xA9";"<ed><a0><bd><ed><b3><a9>"
"EUROPEAN CASTLE";"🏰";"\xF0\x9F\x8F\xB0";"<ed><a0><bc><ed><bf><b0>"
"EUROPEAN POST OFFICE";"🏤";"\xF0\x9F\x8F\xA4";"<ed><a0><bc><ed><bf><a4>"
"EVERGREEN TREE";"🌲";"\xF0\x9F\x8C\xB2";"<ed><a0><bc><ed><bc><b2>"
"EXCLAMATION QUESTION MARK";"⁉";"\xE2\x81\x89";"<e2><81><89>"
"EXPRESSIONLESS FACE";"😑";"\xF0\x9F\x98\x91";"<ed><a0><bd><ed><b8><91>"
"EXTRATERRESTRIAL ALIEN";"👽";"\xF0\x9F\x91\xBD";"<ed><a0><bd><ed><b1><bd>"
"EYEGLASSES";"👓";"\xF0\x9F\x91\x93";"<ed><a0><bd><ed><b1><93>"
"EYES";"👀";"\xF0\x9F\x91\x80";"<ed><a0><bd><ed><b1><80>"
"FACE MASSAGE";"💆";"\xF0\x9F\x92\x86";"<ed><a0><bd><ed><b2><86>"
"FACE SAVOURING DELICIOUS FOOD";"😋";"\xF0\x9F\x98\x8B";"<ed><a0><bd><ed><b8><8b>"
"FACE SCREAMING IN FEAR";"😱";"\xF0\x9F\x98\xB1";"<ed><a0><bd><ed><b8><b1>"
"FACE THROWING A KISS";"😘";"\xF0\x9F\x98\x98";"<ed><a0><bd><ed><b8><98>"
"FACE WITH COLD SWEAT";"😓";"\xF0\x9F\x98\x93";"<ed><a0><bd><ed><b8><93>"
"FACE WITH LOOK OF TRIUMPH";"😤";"\xF0\x9F\x98\xA4";"<ed><a0><bd><ed><b8><a4>"
"FACE WITH MEDICAL MASK";"😷";"\xF0\x9F\x98\xB7";"<ed><a0><bd><ed><b8><b7>"
"FACE WITH NO GOOD GESTURE";"🙅";"\xF0\x9F\x99\x85";"<ed><a0><bd><ed><b9><85>"
"FACE WITH OK GESTURE";"🙆";"\xF0\x9F\x99\x86";"<ed><a0><bd><ed><b9><86>"
"FACE WITH OPEN MOUTH";"😮";"\xF0\x9F\x98\xAE";"<ed><a0><bd><ed><b8><ae>"
"FACE WITH OPEN MOUTH AND COLD SWEAT";"😰";"\xF0\x9F\x98\xB0";"<ed><a0><bd><ed><b8><b0>"
"FACE WITH STUCK-OUT TONGUE";"😛";"\xF0\x9F\x98\x9B";"<ed><a0><bd><ed><b8><9b>"
"FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES";"😝";"\xF0\x9F\x98\x9D";"<ed><a0><bd><ed><b8><9d>"
"FACE WITH STUCK-OUT TONGUE AND WINKING EYE";"😜";"\xF0\x9F\x98\x9C";"<ed><a0><bd><ed><b8><9c>"
"FACE WITH TEARS OF JOY";"😂";"\xF0\x9F\x98\x82";"<ed><a0><bd><ed><b8><82>"
"FACE WITHOUT MOUTH";"😶";"\xF0\x9F\x98\xB6";"<ed><a0><bd><ed><b8><b6>"
"FACTORY";"🏭";"\xF0\x9F\x8F\xAD";"<ed><a0><bc><ed><bf><ad>"
"FALLEN LEAF";"🍂";"\xF0\x9F\x8D\x82";"<ed><a0><bc><ed><bd><82>"
"FAMILY";"👪";"\xF0\x9F\x91\xAA";"<ed><a0><bd><ed><b1><aa>"
"FATHER CHRISTMAS";"🎅";"\xF0\x9F\x8E\x85";"<ed><a0><bc><ed><be><85>"
"FAX MACHINE";"📠";"\xF0\x9F\x93\xA0";"<ed><a0><bd><ed><b3><a0>"
"FEARFUL FACE";"😨";"\xF0\x9F\x98\xA8";"<ed><a0><bd><ed><b8><a8>"
"FERRIS WHEEL";"🎡";"\xF0\x9F\x8E\xA1";"<ed><a0><bc><ed><be><a1>"
"FILE FOLDER";"📁";"\xF0\x9F\x93\x81";"<ed><a0><bd><ed><b3><81>"
"FIRE";"🔥";"\xF0\x9F\x94\xA5";"<ed><a0><bd><ed><b4><a5>"
"FIRE ENGINE";"🚒";"\xF0\x9F\x9A\x92";"<ed><a0><bd><ed><ba><92>"
"FIREWORK SPARKLER";"🎇";"\xF0\x9F\x8E\x87";"<ed><a0><bc><ed><be><87>"
"FIREWORKS";"🎆";"\xF0\x9F\x8E\x86";"<ed><a0><bc><ed><be><86>"
"FIRST QUARTER MOON SYMBOL";"🌓";"\xF0\x9F\x8C\x93";"<ed><a0><bc><ed><bc><93>"
"FIRST QUARTER MOON WITH FACE";"🌛";"\xF0\x9F\x8C\x9B";"<ed><a0><bc><ed><bc><9b>"
"FISH";"🐟";"\xF0\x9F\x90\x9F";"<ed><a0><bd><ed><b0><9f>"
"FISH CAKE WITH SWIRL DESIGN";"🍥";"\xF0\x9F\x8D\xA5";"<ed><a0><bc><ed><bd><a5>"
"FISHING POLE AND FISH";"🎣";"\xF0\x9F\x8E\xA3";"<ed><a0><bc><ed><be><a3>"
"FISTED HAND SIGN";"👊";"\xF0\x9F\x91\x8A";"<ed><a0><bd><ed><b1><8a>"
"FLAG IN HOLE";"⛳";"\xE2\x9B\xB3";"<e2><9b><b3>"
"FLEXED BICEPS";"💪";"\xF0\x9F\x92\xAA";"<ed><a0><bd><ed><b2><aa>"
"FLOPPY DISK";"💾";"\xF0\x9F\x92\xBE";"<ed><a0><bd><ed><b2><be>"
"FLOWER PLAYING CARDS";"🎴";"\xF0\x9F\x8E\xB4";"<ed><a0><bc><ed><be><b4>"
"FLUSHED FACE";"😳";"\xF0\x9F\x98\xB3";"<ed><a0><bd><ed><b8><b3>"
"FOGGY";"🌁";"\xF0\x9F\x8C\x81";"<ed><a0><bc><ed><bc><81>"
"FOOTPRINTS";"👣";"\xF0\x9F\x91\xA3";"<ed><a0><bd><ed><b1><a3>"
"FORK AND KNIFE";"🍴";"\xF0\x9F\x8D\xB4";"<ed><a0><bc><ed><bd><b4>"
"FOUNTAIN";"⛲";"\xE2\x9B\xB2";"<e2><9b><b2>"
"FOUR LEAF CLOVER";"🍀";"\xF0\x9F\x8D\x80";"<ed><a0><bc><ed><bd><80>"
"FRENCH FRIES";"🍟";"\xF0\x9F\x8D\x9F";"<ed><a0><bc><ed><bd><9f>"
"FRIED SHRIMP";"🍤";"\xF0\x9F\x8D\xA4";"<ed><a0><bc><ed><bd><a4>"
"FROG FACE";"🐸";"\xF0\x9F\x90\xB8";"<ed><a0><bd><ed><b0><b8>"
"FRONT-FACING BABY CHICK";"🐥";"\xF0\x9F\x90\xA5";"<ed><a0><bd><ed><b0><a5>"
"FROWNING FACE WITH OPEN MOUTH";"😦";"\xF0\x9F\x98\xA6";"<ed><a0><bd><ed><b8><a6>"
"FUEL PUMP";"⛽";"\xE2\x9B\xBD";"<e2><9b><bd>"
"FULL MOON SYMBOL";"🌕";"\xF0\x9F\x8C\x95";"<ed><a0><bc><ed><bc><95>"
"FULL MOON WITH FACE";"🌝";"\xF0\x9F\x8C\x9D";"<ed><a0><bc><ed><bc><9d>"
"GAME DIE";"🎲";"\xF0\x9F\x8E\xB2";"<ed><a0><bc><ed><be><b2>"
"GEM STONE";"💎";"\xF0\x9F\x92\x8E";"<ed><a0><bd><ed><b2><8e>"
"GEMINI";"♊";"\xE2\x99\x8A";"<e2><99><8a>"
"GHOST";"👻";"\xF0\x9F\x91\xBB";"<ed><a0><bd><ed><b1><bb>"
"GIRL";"👧";"\xF0\x9F\x91\xA7";"<ed><a0><bd><ed><b1><a7>"
"GLOBE WITH MERIDIANS";"🌐";"\xF0\x9F\x8C\x90";"<ed><a0><bc><ed><bc><90>"
"GLOWING STAR";"🌟";"\xF0\x9F\x8C\x9F";"<ed><a0><bc><ed><bc><9f>"
"GOAT";"🐐";"\xF0\x9F\x90\x90";"<ed><a0><bd><ed><b0><90>"
"GRADUATION CAP";"🎓";"\xF0\x9F\x8E\x93";"<ed><a0><bc><ed><be><93>"
"GRAPES";"🍇";"\xF0\x9F\x8D\x87";"<ed><a0><bc><ed><bd><87>"
"GREEN APPLE";"🍏";"\xF0\x9F\x8D\x8F";"<ed><a0><bc><ed><bd><8f>"
"GREEN BOOK";"📗";"\xF0\x9F\x93\x97";"<ed><a0><bd><ed><b3><97>"
"GREEN HEART";"💚";"\xF0\x9F\x92\x9A";"<ed><a0><bd><ed><b2><9a>"
"GRIMACING FACE";"😬";"\xF0\x9F\x98\xAC";"<ed><a0><bd><ed><b8><ac>"
"GRINNING CAT FACE WITH SMILING EYES";"😸";"\xF0\x9F\x98\xB8";"<ed><a0><bd><ed><b8><b8>"
"GRINNING FACE";"😀";"\xF0\x9F\x98\x80";"<ed><a0><bd><ed><b8><80>"
"GRINNING FACE WITH SMILING EYES";"😁";"\xF0\x9F\x98\x81";"<ed><a0><bd><ed><b8><81>"
"GROWING HEART";"💗";"\xF0\x9F\x92\x97";"<ed><a0><bd><ed><b2><97>"
"GUARDSMAN";"💂";"\xF0\x9F\x92\x82";"<ed><a0><bd><ed><b2><82>"
"GUITAR";"🎸";"\xF0\x9F\x8E\xB8";"<ed><a0><bc><ed><be><b8>"
"HAIRCUT";"💇";"\xF0\x9F\x92\x87";"<ed><a0><bd><ed><b2><87>"
"HAMBURGER";"🍔";"\xF0\x9F\x8D\x94";"<ed><a0><bc><ed><bd><94>"
"HAMMER";"🔨";"\xF0\x9F\x94\xA8";"<ed><a0><bd><ed><b4><a8>"
"HAMSTER FACE";"🐹";"\xF0\x9F\x90\xB9";"<ed><a0><bd><ed><b0><b9>"
"HANDBAG";"👜";"\xF0\x9F\x91\x9C";"<ed><a0><bd><ed><b1><9c>"
"HAPPY PERSON RAISING ONE HAND";"🙋";"\xF0\x9F\x99\x8B";"<ed><a0><bd><ed><b9><8b>"
"HATCHING CHICK";"🐣";"\xF0\x9F\x90\xA3";"<ed><a0><bd><ed><b0><a3>"
"HEADPHONE";"🎧";"\xF0\x9F\x8E\xA7";"<ed><a0><bc><ed><be><a7>"
"HEAR-NO-EVIL MONKEY";"🙉";"\xF0\x9F\x99\x89";"<ed><a0><bd><ed><b9><89>"
"HEART DECORATION";"💟";"\xF0\x9F\x92\x9F";"<ed><a0><bd><ed><b2><9f>"
"HEART WITH ARROW";"💘";"\xF0\x9F\x92\x98";"<ed><a0><bd><ed><b2><98>"
"HEART WITH RIBBON";"💝";"\xF0\x9F\x92\x9D";"<ed><a0><bd><ed><b2><9d>"
"HEAVY BLACK HEART";"❤";"\xE2\x9D\xA4";"<e2><9d><a4>"
"HEAVY CHECK MARK";"✔";"\xE2\x9C\x94";"<e2><9c><94>"
"HEAVY DIVISION SIGN";"➗";"\xE2\x9E\x97";"<e2><9e><97>"
"HEAVY DOLLAR SIGN";"💲";"\xF0\x9F\x92\xB2";"<ed><a0><bd><ed><b2><b2>"
"HEAVY EXCLAMATION MARK SYMBOL";"❗";"\xE2\x9D\x97";"<e2><9d><97>"
"HEAVY LARGE CIRCLE";"⭕";"\xE2\xAD\x95";"<e2><ad><95>"
"HEAVY MINUS SIGN";"➖";"\xE2\x9E\x96";"<e2><9e><96>"
"HEAVY MULTIPLICATION X";"✖";"\xE2\x9C\x96";"<e2><9c><96>"
"HEAVY PLUS SIGN";"➕";"\xE2\x9E\x95";"<e2><9e><95>"
"HELICOPTER";"🚁";"\xF0\x9F\x9A\x81";"<ed><a0><bd><ed><ba><81>"
"HERB";"🌿";"\xF0\x9F\x8C\xBF";"<ed><a0><bc><ed><bc><bf>"
"HIBISCUS";"🌺";"\xF0\x9F\x8C\xBA";"<ed><a0><bc><ed><bc><ba>"
"HIGH BRIGHTNESS SYMBOL";"🔆";"\xF0\x9F\x94\x86";"<ed><a0><bd><ed><b4><86>"
"HIGH VOLTAGE SIGN";"⚡";"\xE2\x9A\xA1";"<e2><9a><a1>"
"HIGH-HEELED SHOE";"👠";"\xF0\x9F\x91\xA0";"<ed><a0><bd><ed><b1><a0>"
"HIGH-SPEED TRAIN";"🚄";"\xF0\x9F\x9A\x84";"<ed><a0><bd><ed><ba><84>"
"HIGH-SPEED TRAIN WITH BULLET NOSE";"🚅";"\xF0\x9F\x9A\x85";"<ed><a0><bd><ed><ba><85>"
"HOCHO";"🔪";"\xF0\x9F\x94\xAA";"<ed><a0><bd><ed><b4><aa>"
"HONEY POT";"🍯";"\xF0\x9F\x8D\xAF";"<ed><a0><bc><ed><bd><af>"
"HONEYBEE";"🐝";"\xF0\x9F\x90\x9D";"<ed><a0><bd><ed><b0><9d>"
"HORIZONTAL TRAFFIC LIGHT";"🚥";"\xF0\x9F\x9A\xA5";"<ed><a0><bd><ed><ba><a5>"
"HORSE";"🐎";"\xF0\x9F\x90\x8E";"<ed><a0><bd><ed><b0><8e>"
"HORSE FACE";"🐴";"\xF0\x9F\x90\xB4";"<ed><a0><bd><ed><b0><b4>"
"HORSE RACING";"🏇";"\xF0\x9F\x8F\x87";"<ed><a0><bc><ed><bf><87>"
"HOSPITAL";"🏥";"\xF0\x9F\x8F\xA5";"<ed><a0><bc><ed><bf><a5>"
"HOT BEVERAGE";"☕";"\xE2\x98\x95";"<e2><98><95>"
"HOT SPRINGS";"♨";"\xE2\x99\xA8";"<e2><99><a8>"
"HOTEL";"🏨";"\xF0\x9F\x8F\xA8";"<ed><a0><bc><ed><bf><a8>"
"HOURGLASS";"⌛";"\xE2\x8C\x9B";"<e2><8c><9b>"
"HOURGLASS WITH FLOWING SAND";"⏳";"\xE2\x8F\xB3";"<e2><8f><b3>"
"HOUSE BUILDING";"🏠";"\xF0\x9F\x8F\xA0";"<ed><a0><bc><ed><bf><a0>"
"HOUSE WITH GARDEN";"🏡";"\xF0\x9F\x8F\xA1";"<ed><a0><bc><ed><bf><a1>"
"HUNDRED POINTS SYMBOL";"💯";"\xF0\x9F\x92\xAF";"<ed><a0><bd><ed><b2><af>"
"HUSHED FACE";"😯";"\xF0\x9F\x98\xAF";"<ed><a0><bd><ed><b8><af>"
"ICE CREAM";"🍨";"\xF0\x9F\x8D\xA8";"<ed><a0><bc><ed><bd><a8>"
"IMP";"👿";"\xF0\x9F\x91\xBF";"<ed><a0><bd><ed><b1><bf>"
"INBOX TRAY";"📥";"\xF0\x9F\x93\xA5";"<ed><a0><bd><ed><b3><a5>"
"INCOMING ENVELOPE";"📨";"\xF0\x9F\x93\xA8";"<ed><a0><bd><ed><b3><a8>"
"INFORMATION DESK PERSON";"💁";"\xF0\x9F\x92\x81";"<ed><a0><bd><ed><b2><81>"
"INFORMATION SOURCE";"ℹ";"\xE2\x84\xB9";"<e2><84><b9>"
"INPUT SYMBOL FOR LATIN CAPITAL LETTERS";"🔠";"\xF0\x9F\x94\xA0";"<ed><a0><bd><ed><b4><a0>"
"INPUT SYMBOL FOR LATIN LETTERS";"🔤";"\xF0\x9F\x94\xA4";"<ed><a0><bd><ed><b4><a4>"
"INPUT SYMBOL FOR LATIN SMALL LETTERS";"🔡";"\xF0\x9F\x94\xA1";"<ed><a0><bd><ed><b4><a1>"
"INPUT SYMBOL FOR NUMBERS";"🔢";"\xF0\x9F\x94\xA2";"<ed><a0><bd><ed><b4><a2>"
"INPUT SYMBOL FOR SYMBOLS";"🔣";"\xF0\x9F\x94\xA3";"<ed><a0><bd><ed><b4><a3>"
"IZAKAYA LANTERN";"🏮";"\xF0\x9F\x8F\xAE";"<ed><a0><bc><ed><bf><ae>"
"JACK-O-LANTERN";"🎃";"\xF0\x9F\x8E\x83";"<ed><a0><bc><ed><be><83>"
"JAPANESE CASTLE";"🏯";"\xF0\x9F\x8F\xAF";"<ed><a0><bc><ed><bf><af>"
"JAPANESE DOLLS";"🎎";"\xF0\x9F\x8E\x8E";"<ed><a0><bc><ed><be><8e>"
"JAPANESE GOBLIN";"👺";"\xF0\x9F\x91\xBA";"<ed><a0><bd><ed><b1><ba>"
"JAPANESE OGRE";"👹";"\xF0\x9F\x91\xB9";"<ed><a0><bd><ed><b1><b9>"
"JAPANESE POST OFFICE";"🏣";"\xF0\x9F\x8F\xA3";"<ed><a0><bc><ed><bf><a3>"
"JAPANESE SYMBOL FOR BEGINNER";"🔰";"\xF0\x9F\x94\xB0";"<ed><a0><bd><ed><b4><b0>"
"JEANS";"👖";"\xF0\x9F\x91\x96";"<ed><a0><bd><ed><b1><96>"
"KEY";"🔑";"\xF0\x9F\x94\x91";"<ed><a0><bd><ed><b4><91>"
"KEYCAP TEN";"🔟";"\xF0\x9F\x94\x9F";"<ed><a0><bd><ed><b4><9f>"
"KIMONO";"👘";"\xF0\x9F\x91\x98";"<ed><a0><bd><ed><b1><98>"
"KISS";"💏";"\xF0\x9F\x92\x8F";"<ed><a0><bd><ed><b2><8f>"
"KISS MARK";"💋";"\xF0\x9F\x92\x8B";"<ed><a0><bd><ed><b2><8b>"
"KISSING CAT FACE WITH CLOSED EYES";"😽";"\xF0\x9F\x98\xBD";"<ed><a0><bd><ed><b8><bd>"
"KISSING FACE";"😗";"\xF0\x9F\x98\x97";"<ed><a0><bd><ed><b8><97>"
"KISSING FACE WITH CLOSED EYES";"😚";"\xF0\x9F\x98\x9A";"<ed><a0><bd><ed><b8><9a>"
"KISSING FACE WITH SMILING EYES";"😙";"\xF0\x9F\x98\x99";"<ed><a0><bd><ed><b8><99>"
"KOALA";"🐨";"\xF0\x9F\x90\xA8";"<ed><a0><bd><ed><b0><a8>"
"LADY BEETLE";"🐞";"\xF0\x9F\x90\x9E";"<ed><a0><bd><ed><b0><9e>"
"LARGE BLUE CIRCLE";"🔵";"\xF0\x9F\x94\xB5";"<ed><a0><bd><ed><b4><b5>"
"LARGE BLUE DIAMOND";"🔷";"\xF0\x9F\x94\xB7";"<ed><a0><bd><ed><b4><b7>"
"LARGE ORANGE DIAMOND";"🔶";"\xF0\x9F\x94\xB6";"<ed><a0><bd><ed><b4><b6>"
"LARGE RED CIRCLE";"🔴";"\xF0\x9F\x94\xB4";"<ed><a0><bd><ed><b4><b4>"
"LAST QUARTER MOON SYMBOL";"🌗";"\xF0\x9F\x8C\x97";"<ed><a0><bc><ed><bc><97>"
"LAST QUARTER MOON WITH FACE";"🌜";"\xF0\x9F\x8C\x9C";"<ed><a0><bc><ed><bc><9c>"
"LEAF FLUTTERING IN WIND";"🍃";"\xF0\x9F\x8D\x83";"<ed><a0><bc><ed><bd><83>"
"LEDGER";"📒";"\xF0\x9F\x93\x92";"<ed><a0><bd><ed><b3><92>"
"LEFT LUGGAGE";"🛅";"\xF0\x9F\x9B\x85";"<ed><a0><bd><ed><bb><85>"
"LEFT RIGHT ARROW";"↔";"\xE2\x86\x94";"<e2><86><94>"
